mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.35,"6km NW of The Geysers, CA",1620863156460,1620867012221,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561805,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561805&format=geojson,,,,,automatic,0,2,nc,73561805,",nc73561805,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01069,0.01,77.0,md,earthquake,"M 0.4 - 6km NW of The Geysers, CA"
0.84,"6km NW of The Geysers, CA",1620863139840,1620866352152,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561800&format=geojson,,,,,automatic,0,11,nc,73561800,",nc73561800,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.005154,0.02,108.0,md,earthquake,"M 0.8 - 6km NW of The Geysers, CA"
5.1,"229 km SW of Severo-Kuril’sk, Russia",1620863074113,1620873204567,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e2n5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000e2n5&format=geojson,1.0,5.3,,,reviewed,0,401,us,7000e2n5,",us7000e2n5,",",us,",",dyfi,origin,phase-data,",,4.645,0.83,85.0,mb,earthquake,"M 5.1 - 229 km SW of Severo-Kuril’sk, Russia"
0.35,"7km NW of The Geysers, CA",1620862886320,1620865691071,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561795,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561795&format=geojson,,,,,automatic,0,2,nc,73561795,",nc73561795,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.005013,0.01,76.0,md,earthquake,"M 0.4 - 7km NW of The Geysers, CA"
2.2,"24 km NW of Toyah, Texas",1620862817167,1620930630156,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhdt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhdt&format=geojson,,,,,reviewed,0,74,tx,2021jhdt,",tx2021jhdt,",",tx,",",origin,phase-data,",24.0,0.09452532235,0.2,61.0,ml,earthquake,"M 2.2 - 24 km NW of Toyah, Texas"
1.94,"6km NW of The Geysers, CA",1620862693530,1620864370777,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561790,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561790&format=geojson,,,,,automatic,0,58,nc,73561790,",nc73561790,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",34.0,0.005172,0.04,35.0,md,earthquake,"M 1.9 - 6km NW of The Geysers, CA"
2.05,"3 km SE of Pāhala, Hawaii",1620862253350,1620862584400,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72465652,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72465652&format=geojson,,,,,automatic,0,65,hv,72465652,",hv72465652,",",hv,",",origin,phase-data,",43.0,,0.109999999,134.0,ml,earthquake,"M 2.1 - 3 km SE of Pāhala, Hawaii"
1.08,"5km ENE of Beaumont, CA",1620862192820,1620930586620,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650527,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650527&format=geojson,,,,,reviewed,0,18,ci,39650527,",ci39650527,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",37.0,0.09934,0.12,101.0,ml,earthquake,"M 1.1 - 5km ENE of Beaumont, CA"
1.42,"3km SE of Malibu, CA",1620861927400,1620869719711,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650519,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650519&format=geojson,,,,,reviewed,0,31,ci,39650519,",ci39650519,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.02067,0.21,96.0,ml,earthquake,"M 1.4 - 3km SE of Malibu, CA"
1.9,"54 km S of Whites City, New Mexico",1620861732482,1620932987361,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2021jhde,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2021jhde&format=geojson,,,,,reviewed,0,56,tx,2021jhde,",tx2021jhde,",",tx,",",origin,phase-data,",16.0,0.08397831111,0.3,51.0,ml,earthquake,"M 1.9 - 54 km S of Whites City, New Mexico"
1.79,"5km NNW of Boron, CA",1620861682100,1620929372600,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39650511,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39650511&format=geojson,,,,,reviewed,0,49,ci,39650511,",ci39650511,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.1115,0.14,61.0,ml,quarry blast,"M 1.8 Quarry Blast - 5km NNW of Boron, CA"
1.36,"3km NNE of Almanor, CA",1620861612420,1620864912205,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73561785,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73561785&format=geojson,,,,,reviewed,0,28,nc,73561785,",nc73561785,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.2512,0.3,120.0,md,earthquake,"M 1.4 - 3km NNE of Almanor, CA"
